source,pt_PT
Only the assignee can complete this to-do.,Somente o responsável pode concluir esta tarefa.
Only {0} emailed reports are allowed per user.,Somente {0} relatórios enviados por Email são permitidos por usuário.
Oops! Something went wrong.,Ops! Algo deu errado.
Open,Abrir
Open Awesomebar,Abra a barra incrível
Open Communication,Comunicação aberta
Open Document,Abrir documento
Open Help,Abrir Ajuda
Open Link,Abrir link
Open Settings,Abra Configurações
Open Source Applications for the Web,Aplicativos de código aberto para a Web
Open Translation,Tradução aberta
Open a dialog with mandatory fields to create a new record quickly. There must be at least one mandatory field to show in dialog.,Abra uma caixa de diálogo com campos obrigatórios para criar um novo registro rapidamente. Deve haver pelo menos um campo obrigatório para mostrar na caixa de diálogo.
Open a module or tool,Abra um módulo ou ferramenta
Open console,Abrir console
Open in a new tab,Abrir em uma nova aba
Open in new tab,Abrir em nova aba
Open list item,Abrir item da lista
Open reference document,Abrir documento de referência
Open your authentication app on your mobile phone.,Abra seu aplicativo de autenticação no seu celular.
Open {0},Abra {0}
OpenID Configuration,Configuração OpenID
OpenID Configuration fetched successfully!,Configuração OpenID obtida com sucesso!
OpenLDAP,OpenLDAP
Operation,Operação
Operator must be one of {0},O operador deve ser um de {0}
Operator {0} requires exactly 2 arguments (left and right operands),O operador {0} requer exatamente 2 argumentos (operandos esquerdo e direito)
Optimize,Otimizar
Optimizing image...,Otimizando imagem...
Option 1,Opção 1
Option 2,Opção 2
Option 3,Opção 3
Option {0} for field {1} is not a child table,A opção {0} para o campo {1} não é uma tabela filha
Optional: Always send to these ids. Each Email Address on a new row,Opcional: Sempre envie para esses ids. Cada endereço de Email em uma nova linha
Options,Opções
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Opções de campo do tipo 'Link Dinâmico' devem apontar para outro Campo de Link com opções como 'DocType'
Options for Rating field can range from 3 to 10,As opções para o campo Classificação podem variar de 3 a 10
Options for select. Each option on a new line.,Opções para selecionar. Cada opção em uma nova linha.
Options for {0} must be set before setting the default value.,As opções para {0} devem ser definidas antes de definir o valor padrão.
Options is required for field {0} of type {1},As opções são obrigatórias para o campo {0} do tipo {1}
Options not set for link field {0},Opções não definidas para campo de link {0}
Orange,Laranja
Order By must be a string,Order By deve ser uma string
Orientation,Orientação
Original,Original
Original Value,Valor original
Outgoing (SMTP) Settings,Configurações de saída (SMTP)
Outgoing Emails (Last 7 days),Emails enviados (últimos 7 dias)
Outgoing Server,Servidor de saída
Outgoing Settings,Configurações de saída
Outgoing email account not correct,A conta de Email de saída não está correta
Outlook.com,Outlook.com
Overview,Visão geral
PATCH,CORREÇÃO
PDF,PDF
PDF Generation in Progress,Geração de PDF em andamento
PDF Generator,Gerador de PDF
PDF Page Height (in mm),Altura da página PDF (em mm)
PDF Page Width (in mm),Largura da página PDF (em mm)
PDF generation failed,Falha na geração do PDF
PDF generation failed because of broken image links,A geração do PDF falhou devido a links de imagens quebrados
PDF generation may not work as expected.,A geração de PDF pode não funcionar conforme o esperado.
"PDF printing via ""Raw Print"" is not supported.","A impressão de PDF via ""Raw Print"" não é suportada."
PID,PID
POP3 OAuth authentication failed for Email Account {0},Falha na autenticação POP3 OAuth para conta de Email {0}
POST,PUBLICAR
PUT,COLOCAR
Package,Pacote
Package Import,Importação de Pacote
Package Name,Nome do pacote
Package Release,Liberação de pacote
Page,Página
Page Break,Quebra de página
Page Builder,Construtor de páginas
Page Height (in mm),Altura da página (em mm)
Page Margins,Margens da página
Page Number,Número da página
Page Route,Rota da página
Page Shortcuts,Atalhos de página
Page Size,Tamanho da página
Page Title,Título da página
Page Width (in mm),Largura da página (em mm)
Page has expired!,A página expirou!
Page height and width cannot be zero,A altura e a largura da página não podem ser zero
Page not found,Página não encontrada
Page to show on the website|||,Página para mostrar no site|||
Page {0} of {1},Página {0} de {1}
Parameter,Parâmetro
Parent,Pai
Parent DocType,DocType pai
Parent Document Type,Tipo de documento pai
Parent Document Type is required to create a number card,O tipo de documento pai é necessário para criar um cartão numérico
Parent Element Selector,Seletor de elemento pai
Parent Field,Campo pai
Parent Field (Tree),Campo pai (árvore)
Parent Field must be a valid fieldname,O campo pai deve ser um nome de campo válido
Parent Icon,Ícone pai
Parent Missing,Pai desaparecido
Parent Page,Página pai
Parent Table,Tabela Pai
Parent document type is required to create a dashboard chart,O tipo de documento pai é necessário para criar um gráfico de painel
Parent is the name of the document to which the data will get added to.,Pai é o nome do documento ao qual os dados serão adicionados.
Parent-to-child or child-to-different-child grouping is not allowed.,O agrupamento de pai para filho ou de filho para filho diferente não é permitido.
Parentfield not specified in {0}: {1},Campo pai não especificado em {0}: {1}
"Parenttype, Parent and Parentfield are required to insert a child record","Parenttype, Parent e Parentfield são necessários para inserir um registro filho"
Partial,Parcial
Partial Success,Sucesso Parcial
Partially Sent,Parcialmente enviado
Participants,Participantes
Pass,Passar
Password,Senha
Password Reset,Redefinição de senha
Password cannot be filtered,A senha não pode ser filtrada
Password changed successfully.,Senha alterada com sucesso.
Password is required or select Awaiting Password,A senha é obrigatória ou selecione Aguardando senha
Password is valid. üëç,A senha é válida. üëç
Password missing in Email Account,Senha faltando na conta de Email
Password not found for {0} {1} {2},Senha não encontrada para {0} {1} {2}
Password requirements not met,Requisitos de senha não atendidos
Password set,Conjunto de senha
Password size exceeded the maximum allowed size,O tamanho da senha excedeu o tamanho máximo permitido
Password size exceeded the maximum allowed size.,O tamanho da senha excedeu o tamanho máximo permitido.
Passwords do not match,As senhas não coincidem
Passwords do not match!,As senhas não coincidem!
Paste,Colar
Patch Log,Registro de patches
Patch type {} not found in patches.txt,Tipo de patch {} não encontrado em patches.txt
Path,Caminho
Path to CA Certs File,Caminho para o arquivo de certificados CA
Path {0} is not within module {1},O caminho {0} não está no módulo {1}
Path {0} it not a valid path,Caminho {0} não é um caminho válido
Payload Count,Contagem de carga útil
Peak Memory Usage,Uso máximo de memória
Pending Emails,Emails pendentes
Pending Jobs,Trabalhos pendentes
Pending Verification,Verificação pendente
Percent,Por cento
Period,Período
Permanently Cancel {0}?,Cancelar permanentemente {0}?
Permanently Discard {0}?,Descartar permanentemente {0}?
Permanently Submit {0}?,Enviar {0} permanentemente?
Permanently delete {0}?,Excluir permanentemente {0}?
Permission,Permissão
Permission Error,Erro de permissão
Permission Inspector,Inspetor de permissão
Permission Level,Nível de permissão
Permission Levels,Níveis de permissão
Permission Log,Registro de permissão
Permission Query,Consulta de permissão
Permission Type,Tipo de permissão
Permission Type '{0}' is reserved. Please choose another name.,O tipo de permissão '{0}' é reservado. Por favor escolha outro nome.
Permissions,Permissões
Permissions Error,Erro de permissões
Permissions are automatically applied to Standard Reports and searches.,As permissões são aplicadas automaticamente a pesquisas e relatórios padrão.
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","As permissões são definidas em funções e tipos de documentos (chamados DocTypes) definindo direitos como Ler, Gravar, Criar, Excluir, Enviar, Cancelar, Alterar, Reportar, Importar, Exportar, Imprimir, Enviar por Email e Definir permissões do usuário."
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,As permissões em níveis superiores são permissões em nível de campo. Todos os campos têm um nível de permissão definido e as regras definidas nessas permissões se aplicam ao campo. Isso é útil caso você queira ocultar ou tornar determinado campo somente leitura para determinadas funções.
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","As permissões no nível 0 são permissões em nível de documento, ou seja, são primárias para acesso ao documento."
Permissions get applied on Users based on what Roles they are assigned.,As permissões são aplicadas aos usuários com base nas funções atribuídas a eles.
Permitted Documents For User,Documentos permitidos para usuário
Permitted Roles,Funções permitidas
Personal Data Deletion Request,Solicitação de exclusão de dados pessoais
Personal Data Deletion Step,Etapa de exclusão de dados pessoais
Personal Data Download Request,Solicitação de download de dados pessoais
Phone No.,Número de telefone
Phone Number {0} set in field {1} is not valid.,O número de telefone {0} definido no campo {1} não é válido.
Pick Columns,Escolher colunas
Pincode,Código PIN
Pink,Rosa
Placeholder,Espaço reservado
Places,Lugares
Plain Text,Texto Simples
Please Authorize OAuth for Email Account {0},Autorize o OAuth para a conta de Email {0}
Please Authorize OAuth for Email Account {},Autorize o OAuth para conta de Email {}
Please Duplicate this Website Theme to customize.,Duplique este tema do site para personalizar.
Please Install the ldap3 library via pip to use ldap functionality.,Instale a biblioteca ldap3 via pip para usar a funcionalidade ldap.
Please Set Chart,"Por favor, defina o gráfico"
Please Update SMS Settings,Atualize as configurações de SMS
Please add a subject to your email,Por favor adicione um assunto ao seu Email
Please add a valid comment.,Adicione um comentário válido.
Please adjust filters to include some data,Ajuste os filtros para incluir alguns dados
Please ask your administrator to verify your sign-up,Peça ao seu administrador para verificar sua inscrição
Please attach a file first.,Anexe um arquivo primeiro.
Please attach an image file to set HTML for Footer.,Anexe um arquivo de imagem para definir o HTML do rodapé.
Please attach an image file to set HTML for Letter Head.,Anexe um arquivo de imagem para definir HTML para papel timbrado.
Please attach the package,Anexe o pacote
Please check the filter values set for Dashboard Chart: {},Verifique os valores de filtro definidos para o gráfico do painel: {}
"Please check the value of ""Fetch From"" set for field {0}","Verifique o valor de ""Buscar de"" definido para o campo {0}"
Please check your email for verification,Verifique seu Email para verificação
Please check your email login credentials.,Verifique suas credenciais de login de Email.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Verifique seu endereço de Email registrado para obter instruções sobre como proceder. Não feche esta janela, pois você terá que retornar a ela."
Please click Edit on the Workspace for best results,Clique em Editar na área de trabalho para obter melhores resultados
"Please click on 'Export Errored Rows', fix the errors and import again.","Clique em 'Exportar linhas com erros', corrija os erros e importe novamente."
Please click on the following link and follow the instructions on the page. {0},Clique no link a seguir e siga as instruções da página. {0}
Please click on the following link to set your new password,Por favor clique no link a seguir para definir sua nova senha
Please confirm your action to {0} this document.,Confirme sua ação em {0} este documento.
Please contact your system manager to install correct version.,Entre em contato com o gerente do sistema para instalar a versão correta.
Please create Card first,"Por favor, crie o cartão primeiro"
Please create chart first,"Por favor, crie o gráfico primeiro"
Please delete the field from {0} or add the required doctype.,Exclua o campo de {0} ou adicione o tipo de documento necessário.
Please do not change the template headings.,"Por favor, não altere os títulos do modelo."
Please duplicate this to make changes,Duplique isso para fazer alterações
Please enable atleast one Social Login Key or LDAP or Login With Email Link before disabling username/password based login.,Ative pelo menos uma chave de login social ou LDAP ou link de login com Email antes de desativar o login baseado em nome de usuário/senha.
Please enable pop-ups,Ative os pop-ups
Please enable pop-ups in your browser,Ative os pop-ups no seu navegador
Please enable {} before continuing.,Ative {} antes de continuar.
Please ensure that your profile has an email address,Certifique-se de que seu perfil tenha um endereço de Email
Please enter Access Token URL,Insira o URL do token de acesso
Please enter Authorize URL,Insira o URL de autorização
Please enter Base URL,Insira o URL base
Please enter Client ID before social login is enabled,Insira o ID do cliente antes que o login social seja ativado
Please enter Client Secret before social login is enabled,Insira o segredo do cliente antes que o login social seja ativado
Please enter OpenID Configuration URL,Insira o URL de configuração do OpenID
Please enter Redirect URL,Insira o URL de redirecionamento
Please enter a valid email address.,Insira um endereço de Email válido.
Please enter both your email and message so that we can get back to you. Thanks!,"Por favor, insira seu Email e mensagem para que possamos entrar em contato com você. Obrigado!"
Please enter the password,Por favor digite a senha
Please enter the password for: <b>{0}</b>,Digite a senha de: <b>{0}</b>
Please enter valid mobile nos,Insira números de celular válidos
Please enter your new password.,"Por favor, digite sua nova senha."
Please enter your old password.,"Por favor, digite sua senha antiga."
Please find attached {0}: {1},Segue anexo {0}: {1}
Please login to post a comment.,Faça login para postar um comentário.
Please make sure the Reference Communication Docs are not circularly linked.,Certifique-se de que os documentos de comunicação de referência não estejam vinculados circularmente.
Please refresh to get the latest document.,Atualize para obter o documento mais recente.
Please remove the printer mapping in Printer Settings and try again.,Remova o mapeamento da impressora em Configurações da impressora e tente novamente.
Please save before attaching.,Salve antes de anexar.
Please save the document before assignment,Por favor salve o documento antes da atribuição
Please save the document before removing assignment,Salve o documento antes de remover a atribuição
Please save the form before previewing the message,Salve o formulário antes de visualizar a mensagem
Please save the report first,Salve o relatório primeiro
Please save to edit the template.,Salve para editar o modelo.
Please select DocType first,Selecione DocType primeiro
Please select Entity Type first,Selecione primeiro o tipo de entidade
Please select Minimum Password Score,Selecione a pontuação mínima da senha
Please select X and Y fields,Selecione os campos X e Y
Please select a DocType in options before setting filters,Selecione um DocType nas opções antes de definir os filtros
Please select a country code for field {1}.,Selecione um código de país para o campo {1}.
Please select a file first.,Selecione um arquivo primeiro.
Please select a file or url,Selecione um arquivo ou URL
Please select a valid csv file with data,Selecione um arquivo csv válido com dados
Please select a valid date filter,Selecione um filtro de data válido
Please select applicable Doctypes,Selecione os tipos de documentos aplicáveis
Please select atleast 1 column from {0} to sort/group,Selecione pelo menos 1 coluna de {0} para classificar/agrupar
Please select prefix first,Selecione o prefixo primeiro
Please select the Document Type.,Selecione o tipo de documento.
Please select the LDAP Directory being used,Selecione o diretório LDAP que está sendo usado
Please select {0},Selecione {0}
Please set Email Address,"Por favor, defina o endereço de Email"
Please set a printer mapping for this print format in the Printer Settings,Defina um mapeamento de impressora para este formato de impressão nas Configurações da impressora
Please set filters,Defina filtros
Please set filters value in Report Filter table.,Defina o valor dos filtros na tabela Filtro de Relatório.
Please set the document name,"Por favor, defina o nome do documento"
Please set the following documents in this Dashboard as standard first.,Defina primeiro os seguintes documentos neste Painel como padrão.
Please set the series to be used.,"Por favor, defina a série a ser usada."
"Please setup SMS before setting it as an authentication method, via SMS Settings","Configure o SMS antes de defini-lo como método de autenticação, através de Configurações de SMS"
Please setup a message first,Configure uma mensagem primeiro
Please setup default outgoing Email Account from Settings > Email Account,Configure a conta de Email de saída padrão em Configurações > Conta de Email
Please setup default outgoing Email Account from Tools > Email Account,Configure a conta de Email de saída padrão em Ferramentas > Conta de Email
Please specify,Por favor especifique
Please specify a valid parent DocType for {0},Especifique um DocType pai válido para {0}
Please specify at least 10 minutes due to the trigger cadence of the scheduler,Especifique pelo menos 10 minutos devido à cadência de acionamento do agendador
Please specify the field from which to attach files,Especifique o campo do qual deseja anexar arquivos
Please specify the minutes offset,Especifique o deslocamento de minutos
Please specify which date field must be checked,Especifique qual campo de data deve ser verificado
Please specify which datetime field must be checked,Especifique qual campo de data e hora deve ser verificado
Please specify which value field must be checked,Especifique qual campo de valor deve ser verificado
Please try again,"Por favor, tente novamente"
Please update your security settings from desk.,Atualize suas configurações de segurança na mesa.
Please update {} before continuing.,Atualize {} antes de continuar.
Please use a valid LDAP search filter,Use um filtro de pesquisa LDAP válido
Please use following links to download file backup.,Use os links a seguir para baixar o backup do arquivo.
Please visit https://frappecloud.com/docs/sites/migrate-an-existing-site#encryption-key for more information.,Visite https://frappecloud.com/docs/sites/migrate-an-existent-site#encryption-key para obter mais informações.
Policy,Política
Policy URI,URI da política
Polling,Votação
Popover Element,Elemento Popover
Popover or Modal Description,Popover ou descrição modal
Portal,Portal
Portal Menu,Menu do Portal
Portal Menu Item,Item de menu do portal
Portal Settings,Configurações do portal
Portrait,Retrato
Post,Publicar
"Post it here, our mentors will help you out.","Poste aqui, nossos mentores irão ajudá-lo."
Postal,Postal
Postal Code,Código postal
Posting Timestamp,Carimbo de data e hora de postagem
Precision ({0}) for {1} cannot be greater than its length ({2}).,A precisão ({0}) para {1} não pode ser maior que seu comprimento ({2}).
Precision should be between 1 and 6,A precisão deve estar entre 1 e 6
Predictable substitutions like '@' instead of 'a' don't help very much.,Substituições previsíveis como '@' em vez de 'a' não ajudam muito.
Preferred Language,Idioma preferido
Prepared Report,Relatório Preparado
Prepared Report Analytics,Análise de relatório preparado
Prepared Report User,Usuário de relatório preparado
Prepared report render failed,Falha na renderização do relatório preparado
Preparing Report,Preparando Relatório
Prepend the template to the email message,Anexe o modelo à mensagem de Email
Press Alt Key to trigger additional shortcuts in Menu and Sidebar,Pressione a tecla Alt para acionar atalhos adicionais no menu e na barra lateral
Press Enter to save,Pressione Enter para salvar
Preview,Visualização
Preview Mode,Modo de visualização
Preview of generated names,Visualização dos nomes gerados
Preview on {0},Visualização em {0}
Preview type,Tipo de visualização
Preview:,Visualização:
Previous,Anterior
Previous Document,Documento Anterior
Previous Submission,Envio Anterior
Primary Address,Endereço principal
Primary Contact,Contato principal
Primary Email,Email principal
Primary Mobile,Celular principal
Primary Phone,Telefone principal
Primary key of doctype {0} can not be changed as there are existing values.,A chave primária do tipo de documento {0} não pode ser alterada porque existem valores existentes.
Print,Imprimir
Print Documents,Imprimir documentos
Print Format,Formato de impressão
Print Format Builder,Construtor de formato de impressão
Print Format Builder Beta,Construtor de formato de impressão beta
Print Format Error,Erro de formato de impressão
Print Format Field Template,Modelo de campo de formato de impressão
Print Format For,Formato de impressão para
Print Format not found,Formato de impressão não encontrado
Print Format {0} is disabled,Formato de impressão {0} está desativado
Print Heading,Imprimir título
Print Language,Idioma de impressão
Print Sent to the printer!,Imprimir Enviado para a impressora!
Print Settings,Configurações de impressão
Print Style,Estilo de impressão
Print document,Imprimir documento
Printer,Impressora
Printer Mapping,Mapeamento de impressora
Printer Settings,Configurações da impressora
Printer mapping not set.,Mapeamento da impressora não definido.
Printing,Impressão
Printing failed,Falha na impressão
Priority,Prioridade
Private Files (MB),Arquivos privados (MB)
Private Files Backup:,Backup de arquivos privados:
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Adicione <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> para enviar a referência do documento
Proceed,Prosseguir
Proceed Anyway,Prossiga de qualquer maneira
Processing,Processamento
Processing...,Processamento...
Prof,Prof.
Progress,Progresso
Project,Projeto
Property,Propriedade
Property Setter,Configurador de propriedades
Property Setter overrides a standard DocType or Field property,O Property Setter substitui uma propriedade DocType ou Field padrão
Property Type,Tipo de propriedade
Protect Attached Files,Proteger arquivos anexados
Protected File,Arquivo protegido
"Provide a list of allowed file extensions for file uploads. Each line should contain one allowed file type. If unset, all file extensions are allowed. Example: <br>CSV<br>JPG<br>PNG","Forneça uma lista de extensões de arquivo permitidas para uploads de arquivos. Cada linha deve conter um tipo de arquivo permitido. Se não for definido, todas as extensões de arquivo serão permitidas. Exemplo: <br>CSV<br>JPG<br>PNG"
Public Files (MB),Arquivos Públicos (MB)
Public Files Backup:,Backup de arquivos públicos:
Public Policy URL must start with https://,O URL da política pública deve começar com https://
Publish,Publicar
Published,Publicado
Publishing Dates,Datas de publicação
Pull Emails,Extrair Emails
Pull from Google Contacts,Extrair dos Contatos do Google
Pulling emails...,Extraindo Emails...
Purchase Manager,Gerente de compras
Purchase Master Manager,Gerente mestre de compras
Purchase User,Usuário de compra
Purple,Roxo
Push Notification Settings,Configurações de notificação push
Put on Hold,Colocar em espera
Python,Python
QR Code,Código QR
QR Code for Login Verification,Código QR para verificação de login
QZ Tray Connection Active!,Conexão da bandeja QZ ativa!
Quarter Day,Trimestre de Dia
Quarterly,Trimestral
Query / Script,Consulta/Script
Query Parameters,Parâmetros de consulta
Query Report,Relatório de consulta
Query analysis complete. Check suggested indexes.,Análise da consulta concluída. Verifique os índices sugeridos.
Query must be of SELECT or read-only WITH type.,A consulta deve ser do tipo SELECT ou somente leitura COM.
Queue,Fila
Queue Overloaded,Fila sobrecarregada
Queue Status,Status da fila
Queue Type(s),Tipo(s) de fila
Queue in Background (BETA),Fila em segundo plano (BETA)
Queue should be one of {0},A fila deve ser uma de {0}
Queue(s),Filas
Queued At,Na fila em
Queued By,Na fila por
Queued for Submission. You can track the progress over {0}.,Na fila para envio. Você pode acompanhar o progresso em {0}.
Queued for backup. You will receive an email with the download link,Na fila para backup. Você receberá um Email com o link para download
Queues,Caudas
Queuing {0} for Submission,Enfileirando {0} para envio
Quick Help for Setting Permissions,Ajuda rápida para definir permissões
Quick List Filter,Filtro de lista rápida
Quick Lists,Listas rápidas
Quoting must be between 0 and 3,A cotação deve estar entre 0 e 3
RQ Job,Trabalho RQ
RQ Worker,Trabalhador RQ
Random,aleatório
Range,Faixa
Rate Limiting,Limitação de taxa
Rate limit for email link login,Limite de taxa para login com link de Email
Rating,Avaliação
Raw Commands,Comandos brutos
Raw Email,Email bruto
Raw HTML can be used only with Email Templates having 'Use HTML' checked. Proceeding with plain text email.,HTML bruto pode ser usado apenas com modelos de Email com a opção 'Usar HTML' marcada. Continuando com Email de texto simples.
"Raw HTML emails are rendered as complete Jinja templates. Otherwise, emails are wrapped in the standard.html email template, which inserts brand_logo, header and footer.","Emails HTML brutos são renderizados como modelos Jinja completos. Caso contrário, os Emails serão agrupados no modelo de Email standard.html, que insere brand_logo, cabeçalho e rodapé."
Raw Printing,Impressão bruta
Raw Printing Setting,Configuração de impressão bruta
Raw Printing Settings,Configurações de impressão bruta
Re-Run in Console,Execute novamente no console
Re:,Ré:
Re: {0},Re: {0}
Read Only,Somente leitura
Read Only Depends On (JS),Somente leitura depende de (JS)
Read Only Mode,Modo somente leitura
Read mode,Modo de leitura
Read the documentation to know more,Leia a documentação para saber mais
Readme,Leia-me
Realtime (SocketIO),Tempo real (SocketIO)
Reason,Razão
Rebuild,Reconstruir
Rebuild Tree,Reconstruir árvore
Rebuilding of tree is not supported for {},A reconstrução da árvore não é compatível com {}
Received,Recebido
Received an invalid token type.,Recebeu um tipo de token inválido.
Recent years are easy to guess.,Os últimos anos são fáceis de adivinhar.
Recents,Recente
Recipient Account Field,Campo da conta do destinatário
Recorder,Gravador
Recorder Query,Consulta do gravador
Recorder Suggested Index,Índice sugerido do gravador
Records for following doctypes will be filtered,Os registros dos seguintes doctypes serão filtrados
Recursive Fetch From,Busca recursiva de
Red,Vermelho
Redirect HTTP Status,Redirecionar status HTTP
Redirect To Path,Redirecionar para caminho
Redirect URI,Redirecionar URI
Redirect URI Bound To Auth Code,Redirecionar URI vinculado ao código de autenticação
Redirect URIs,Redirecionar URIs
Redirect to the selected app after login,Redirecionar para o aplicativo selecionado após o login
Redirect to this URL after successful confirmation.,Redirecione para este URL após confirmação bem-sucedida.
Redirects,Redirecionamentos
Redis cache server not running. Please contact Administrator / Tech support,O servidor de cache Redis não está em execução. Entre em contato com o administrador/suporte técnico
Redo,Refazer
Redo last action,Refazer a última ação
Ref DocType,Tipo de documento de referência
Referance Doctype and Dashboard Name both can't be used at the same time.,Tipo de documento de referência e nome do painel não podem ser usados ​​ao mesmo tempo.
Reference,Referência
Reference Date,Data de referência
Reference Datetime,Data e hora de referência
Reference Doc,Documento de referência
Reference DocType,DocType de referência
Reference DocType and Reference Name are required,Referência DocType e Reference Name são obrigatórios
Reference Document,Documento de referência
Reference Document Name,Nome do documento de referência
Reference Document Type,Tipo de documento de referência
Reference Name,Nome de referência
Reference Type,Tipo de referência
Reference: {0} {1},Referência: {0} {1}
Referrer,Referenciador
Refresh,Atualizar
Refresh All,Atualizar tudo
Refresh List,Atualizar lista
Refresh Print Preview,Atualizar visualização de impressão
Refresh Token,Atualizar token
Refreshing,Refrescante
Refreshing...,Refrescante...
Registered but disabled,"Registrado, mas desativado"
Rejected,Rejeitado
Relay Server URL missing,URL do servidor de retransmissão ausente
Relay Settings,Configurações de relé
Release Notes,Notas de versão
Relink,Vincular novamente
Relink Communication,Revincular a comunicação
Reload,Recarregar
Reload File,Recarregar arquivo
Reload List,Lista de recarga
Reload Report,Recarregar relatório
Remind At,Lembrar em
Remind Me,Lembre-me
Remind Me In,Lembre-me
Reminder,Lembretes
Reminder cannot be created in past.,O lembrete não pode ser criado no passado.
Reminder set at {0},Lembrete definido em {0}
Remove,Remover
Remove Failed Jobs,Remover trabalhos com falha
Remove Field,Remover campo
Remove Filter,Remover filtro
Remove Section,Remover seção
Remove all customizations?,Remover todas as personalizações?
Remove all fields in the column,Remova todos os campos da coluna
Remove column,Remover coluna
Remove field,Remover campo
Remove last column,Remover última coluna
Remove page break,Remover quebra de página
Remove section,Remover seção
Remove tab,Remover guia
Removed,Removido
Removed Icons,Ícones removidos
Rename,Renomear
Rename Fieldname,Renomear nome do campo
Rename {0},Renomear {0}
"Renamed files and replaced code in controllers, please check!","Arquivos renomeados e código substituído nos controladores, verifique!"
Render labels to the left and values to the right in this section,Renderize rótulos à esquerda e valores à direita nesta seção
Reopen,Reabrir
Repeat,Repita
Repeat Header and Footer,Repetir cabeçalho e rodapé
Repeat on Days,Repita nos dias
"Repeats like ""aaa"" are easy to guess","Repetições como ""aaa"" são fáceis de adivinhar"
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Repetições como ""abcabcabc"" são apenas um pouco mais difíceis de adivinhar do que ""abc"""
Repeats {0},Repete {0}
Replicate,Replicar
Replicating...,Replicando...
Replication completed.,Replicação concluída.
Replied,Respondeu
Reply All,Responder a todos
Reply To Address,Responder ao endereço
Reply To email is required,Responder ao Email é obrigatório
Reply-To Addresses,Endereços de resposta
Report,Relatório
Report Builder,Construtor de relatórios
Report Column,Coluna do relatório
Report Document Error,Reportar erro no documento
Report Filter,Filtro de relatório
Report Manager,Gerenciador de relatórios
Report Name,Nome do relatório
"Report Name, Report Field and Fucntion are required to create a number card","Nome do relatório, campo do relatório e função são necessários para criar um cartão numérico"
Report Ref DocType,Tipo de documento de referência do relatório
Report Reference Doctype,Tipo de documento de referência do relatório
Report Type,Tipo de relatório
Report View,Visualização do relatório
Report bug,Reportar bug
Report cannot be set for Single types,O relatório não pode ser definido para tipos únicos
"Report has no data, please modify the filters or change the Report Name",O relatório não contém dados. Modifique os filtros ou altere o nome do relatório
"Report has no numeric fields, please change the Report Name",O relatório não possui campos numéricos. Altere o nome do relatório
"Report initiated, click to view status","Relatório iniciado, clique para visualizar o status"
Report limit reached,Limite de relatórios atingido
Report timed out.,O relatório expirou.
Report updated successfully,Relatório atualizado com sucesso
Report was not saved (there were errors),O relatório não foi salvo (houve erros)
Report with more than 10 columns looks better in Landscape mode.,Relatório com mais de 10 colunas fica melhor no modo Paisagem.
Report {0},Relatório {0}
Report {0} deleted,Relatório {0} excluído
Report {0} is disabled,O relatório {0} está desativado
Report {0} saved,Relatório {0} salvo
Report:,Relatório:
Reports,Relatórios
Reports & Masters,Relatórios e Mestres
Reports already in Queue,Relatórios já na fila
Represents a User in the system.,Representa um usuário no sistema.
Represents the states allowed in one document and role assigned to change the state.,Representa os estados permitidos em um documento e a função atribuída para alterar o estado.
Request Body,Corpo da Solicitação
Request Description,Descrição da solicitação
Request Headers,Solicitar cabeçalhos
Request ID,ID da solicitação
Request Limit,Limite de solicitação
Request Method,Método de solicitação
Request Timed Out,Solicitação expirou
Request Timeout,Solicitar tempo limite
Requested Numbers,Números solicitados
"Requires any valid fdn path. i.e. ou=groups,dc=example,dc=com","Requer qualquer caminho fdn válido. ou seja, ou=grupos,dc=exemplo,dc=com"
"Requires any valid fdn path. i.e. ou=users,dc=example,dc=com","Requer qualquer caminho fdn válido. ou seja, ou=usuários,dc=exemplo,dc=com"
Res: {0},Res: {0}
Reset,Reiniciar
Reset All,Redefinir tudo
Reset All Customizations,Redefinir todas as personalizações
Reset Changes,Redefinir alterações
Reset Chart,Redefinir gráfico
Reset Dashboard Customizations,Redefinir personalizações do painel
Reset Fields,Redefinir campos
Reset LDAP Password,Redefinir senha LDAP
Reset Layout,Redefinir layout
Reset OTP Secret,Redefinir segredo OTP
Reset Password,Redefinir senha
Reset Password Link Expiry Duration,Duração de expiração do link de redefinição de senha
Reset Password Template,Modelo de redefinição de senha
Reset Permissions for {0}?,Redefinir permissões para {0}?
Reset To Default,Redefinir para o padrão
Reset sorting,Redefinir classificação
Reset to default,Redefinir para o padrão
Reset to defaults,Redefinir para os padrões
Reset your password,Redefinir sua senha
Resource,Recurso
Resource Documentation,Documentação de recursos
Resource Name,Nome do recurso
