 to your browser,para o seu navegador
Open a module or tool,Abra um módulo ou ferramenta
Open in a new tab,Abrir em uma nova aba
Open list item,Abrir item da lista
Open reference document,Abrir documento de referência
Open your authentication app on your mobile phone.,Abra seu aplicativo de autenticação no seu celular.
Open {0},Abra {0}
OpenID Configuration,Configuração OpenID
OpenLDAP,OpenLDAP
Opened,Aberto
Operator must be one of {0},O operador deve ser um de {0}
Optimize,Otimizar
Optimizing image...,Otimizando imagem...
Option 1,Opção 1
Option 2,Opção 2
Option 3,Opção 3
Option {0} for field {1} is not a child table,A opção {0} para o campo {1} não é uma tabela filha
Optional: Always send to these ids. Each Email Address on a new row,Opcional: Sempre envie para esses ids. Cada endereço de e-mail em uma nova linha
Optional: The alert will be sent if this expression is true,Opcional: O alerta será enviado se esta expressão for verdadeira
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Opções de campo do tipo 'Link Dinâmico' devem apontar para outro Campo de Link com opções como 'DocType'
Options Help,Ajuda de opções
Options for Rating field can range from 3 to 10,As opções para o campo Classificação podem variar de 3 a 10
Options for select. Each option on a new line.,Opções para selecionar. Cada opção em uma nova linha.
Options for {0} must be set before setting the default value.,As opções para {0} devem ser definidas antes de definir o valor padrão.
Options is required for field {0} of type {1},As opções são obrigatórias para o campo {0} do tipo {1}
Options not set for link field {0},Opções não definidas para campo de link {0}
Order,Ordem
Org History,Histórico da organização
Org History Heading,Título do histórico da organização
Original Value,Valor original
Outgoing (SMTP) Settings,Configurações de saída (SMTP)
Outgoing Emails (Last 7 days),E-mails enviados (últimos 7 dias)
Outgoing Server,Servidor de saída
Outgoing Settings,Configurações de saída
Outgoing email account not correct,A conta de e-mail de saída não está correta
Outlook.com,Outlook.com
Output,Saída
PATCH,CORREÇÃO
PDF,PDF
PDF Generation in Progress,Geração de PDF em andamento
PDF Generator,Gerador de PDF
PDF Page Height (in mm),Altura da página PDF (em mm)
PDF Page Size,Tamanho da página PDF
PDF Page Width (in mm),Largura da página PDF (em mm)
PDF Settings,Configurações de PDF
PDF generation failed,Falha na geração do PDF
PDF generation failed because of broken image links,A geração do PDF falhou devido a links de imagens quebrados
PDF generation may not work as expected.,A geração de PDF pode não funcionar conforme o esperado.
"PDF printing via ""Raw Print"" is not supported.","A impressão de PDF via ""Raw Print"" não é suportada."
PID,PID
POST,PUBLICAR
PUT,COLOCAR
Package,Pacote
Package Import,Importação de Pacote
Package Name,Nome do pacote
Package Release,Liberação de pacote
Page,Página
Page Builder,Construtor de páginas
Page Building Blocks,Blocos de construção de página
Page HTML,HTML da página
Page Height (in mm),Altura da página (em mm)
Page Margins,Margens da página
Page Name,Nome da página
Page Number,Número da página
Page Route,Rota da página
Page Settings,Configurações de página
Page Shortcuts,Atalhos de página
Page Size,Tamanho da página
Page Title,Título da página
Page Width (in mm),Largura da página (em mm)
Page has expired!,A página expirou!
Page height and width cannot be zero,A altura e a largura da página não podem ser zero
Page not found,Página não encontrada
Page to show on the website|||,Página para mostrar no site|||
Parent DocType,DocType pai
Parent Document Type,Tipo de documento pai
Parent Document Type is required to create a number card,O tipo de documento pai é necessário para criar um cartão numérico
Parent Element Selector,Seletor de elemento pai
Parent Field,Campo pai
Parent Field (Tree),Campo pai (árvore)
Parent Field must be a valid fieldname,O campo pai deve ser um nome de campo válido
Parent Label,Etiqueta pai
Parent Missing,Pai desaparecido
Parent Page,Página pai
Parent Table,Tabela Pai
Parent document type is required to create a dashboard chart,O tipo de documento pai é necessário para criar um gráfico de painel
Parent is the name of the document to which the data will get added to.,Pai é o nome do documento ao qual os dados serão adicionados.
Parent-to-child or child-to-parent grouping is not allowed.,O agrupamento de pai para filho ou de filho para pai não é permitido.
Parentfield not specified in {0}: {1},Campo pai não especificado em {0}: {1}
"Parenttype, Parent and Parentfield are required to insert a child record","Parenttype, Parent e Parentfield são necessários para inserir um registro filho"
Partial,Parcial
Partially Sent,Parcialmente enviado
Participants,Participantes
Pass,Passar
Passive,Passiva
Password,Senha
Password Email Sent,E-mail de senha enviado
Password Reset,Redefinição de senha
Password Reset Link Generation Limit,Limite de geração de links para redefinição de senha
Password cannot be filtered,A senha não pode ser filtrada
Password changed successfully.,Senha alterada com sucesso.
Password for Base DN,Senha para DN Base
Password is required or select Awaiting Password,A senha é obrigatória ou selecione Aguardando senha
Password missing in Email Account,Senha faltando na conta de e-mail
Password not found for {0} {1} {2},Senha não encontrada para {0} {1} {2}
Password reset instructions have been sent to {}'s email,As instruções de redefinição de senha foram enviadas para o e-mail de {}
Password set,Conjunto de senha
Password size exceeded the maximum allowed size,O tamanho da senha excedeu o tamanho máximo permitido
Password size exceeded the maximum allowed size.,O tamanho da senha excedeu o tamanho máximo permitido.
Passwords do not match,As senhas não coincidem
Passwords do not match!,As senhas não coincidem!
Past dates are not allowed for Scheduling.,Datas passadas não são permitidas para agendamento.
Paste,Colar
Patch,Correção
Patch Log,Registro de patches
Patch type {} not found in patches.txt,Tipo de patch {} não encontrado em patches.txt
Path to CA Certs File,Caminho para o arquivo de certificados CA
Path to Server Certificate,Caminho para o certificado do servidor
Path to private Key File,Caminho para o arquivo de chave privada
Path {0} it not a valid path,Caminho {0} não é um caminho válido
Payload Count,Contagem de carga útil
Peak Memory Usage,Uso máximo de memória
Pending Approval,Aprovação pendente
Pending Emails,E-mails pendentes
Pending Jobs,Trabalhos pendentes
Pending Verification,Verificação pendente
Perm Level,Nível de permanente
Permanent,Permanente
Permanently Cancel {0}?,Cancelar permanentemente {0}?
Permanently Discard {0}?,Descartar permanentemente {0}?
Permanently Submit {0}?,Enviar {0} permanentemente?
Permanently delete {0}?,Excluir permanentemente {0}?
Permission Error,Erro de permissão
Permission Inspector,Inspetor de permissão
Permission Level,Nível de permissão
Permission Levels,Níveis de permissão
Permission Log,Registro de permissão
Permission Query,Consulta de permissão
Permission Rules,Regras de permissão
Permission Type,Tipo de permissão
Permissions,Permissões
Permissions Error,Erro de permissões
Permissions are automatically applied to Standard Reports and searches.,As permissões são aplicadas automaticamente a pesquisas e relatórios padrão.
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","As permissões são definidas em funções e tipos de documentos (chamados DocTypes) definindo direitos como Ler, Gravar, Criar, Excluir, Enviar, Cancelar, Alterar, Reportar, Importar, Exportar, Imprimir, Enviar por e-mail e Definir permissões do usuário."
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,As permissões em níveis superiores são permissões em nível de campo. Todos os campos têm um nível de permissão definido e as regras definidas nessas permissões se aplicam ao campo. Isso é útil caso você queira ocultar ou tornar determinado campo somente leitura para determinadas funções.
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","As permissões no nível 0 são permissões em nível de documento, ou seja, são primárias para acesso ao documento."
Permissions get applied on Users based on what Roles they are assigned.,As permissões são aplicadas aos usuários com base nas funções atribuídas a eles.
Permitted Documents For User,Documentos permitidos para usuário
Permitted Roles,Funções permitidas
Personal,Pessoal
Personal Data Deletion Request,Solicitação de exclusão de dados pessoais
Personal Data Deletion Step,Etapa de exclusão de dados pessoais
Personal Data Download Request,Solicitação de download de dados pessoais
Phone No.,Número de telefone
Phone Number {0} set in field {1} is not valid.,O número de telefone {0} definido no campo {1} não é válido.
Pick Columns,Escolher colunas
Pie,Torta
Pincode,Código PIN
Placeholder,Espaço reservado
Places,Lugares
Plain Text,Texto Simples
Plant,Plantar
Please Authorize OAuth for Email Account {0},Autorize o OAuth para a conta de e-mail {0}
Please Authorize OAuth for Email Account {},Autorize o OAuth para conta de e-mail {}
Please Duplicate this Website Theme to customize.,Duplique este tema do site para personalizar.
Please Install the ldap3 library via pip to use ldap functionality.,Instale a biblioteca ldap3 via pip para usar a funcionalidade ldap.
Please Set Chart,"Por favor, defina o gráfico"
Please Update SMS Settings,Atualize as configurações de SMS
Please add a subject to your email,Por favor adicione um assunto ao seu e-mail
Please add a valid comment.,Adicione um comentário válido.
Please ask your administrator to verify your sign-up,Peça ao seu administrador para verificar sua inscrição
Please attach a file first.,Anexe um arquivo primeiro.
Please attach an image file to set HTML for Footer.,Anexe um arquivo de imagem para definir o HTML do rodapé.
Please attach an image file to set HTML for Letter Head.,Anexe um arquivo de imagem para definir HTML para papel timbrado.
Please attach the package,Anexe o pacote
Please check OpenID Configuration URL,Verifique o URL de configuração do OpenID
Please check the filter values set for Dashboard Chart: {},Verifique os valores de filtro definidos para o gráfico do painel: {}
"Please check the value of ""Fetch From"" set for field {0}","Verifique o valor de ""Buscar de"" definido para o campo {0}"
Please check your email for verification,Verifique seu e-mail para verificação
Please check your email login credentials.,Verifique suas credenciais de login de e-mail.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Verifique seu endereço de e-mail registrado para obter instruções sobre como proceder. Não feche esta janela, pois você terá que retornar a ela."
Please click Edit on the Workspace for best results,Clique em Editar na área de trabalho para obter melhores resultados
"Please click on 'Export Errored Rows', fix the errors and import again.","Clique em 'Exportar linhas com erros', corrija os erros e importe novamente."
Please click on the following link and follow the instructions on the page. {0},Clique no link a seguir e siga as instruções da página. {0}
Please click on the following link to set your new password,Por favor clique no link a seguir para definir sua nova senha
Please close this window,Por favor feche esta janela
Please confirm your action to {0} this document.,Confirme sua ação em {0} este documento.
Please contact your system manager to install correct version.,Entre em contato com o gerente do sistema para instalar a versão correta.
Please create Card first,"Por favor, crie o cartão primeiro"
Please create chart first,"Por favor, crie o gráfico primeiro"
Please delete the field from {0} or add the required doctype.,Exclua o campo de {0} ou adicione o tipo de documento necessário.
Please do not change the template headings.,"Por favor, não altere os títulos do modelo."
Please duplicate this to make changes,Duplique isso para fazer alterações
Please enable atleast one Social Login Key or LDAP or Login With Email Link before disabling username/password based login.,Ative pelo menos uma chave de login social ou LDAP ou link de login com e-mail antes de desativar o login baseado em nome de usuário/senha.
Please enable pop-ups in your browser,Ative os pop-ups no seu navegador
Please enable {} before continuing.,Ative {} antes de continuar.
Please ensure that your profile has an email address,Certifique-se de que seu perfil tenha um endereço de e-mail
Please enter Access Token URL,Insira o URL do token de acesso
Please enter Authorize URL,Insira o URL de autorização
Please enter Base URL,Insira o URL base
Please enter Client ID before social login is enabled,Insira o ID do cliente antes que o login social seja ativado
Please enter Client Secret before social login is enabled,Insira o segredo do cliente antes que o login social seja ativado
Please enter OpenID Configuration URL,Insira o URL de configuração do OpenID
Please enter Redirect URL,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Please enter a valid email address.,Insira um endereço de e-mail válido.
Please enter both your email and message so that we can get back to you. Thanks!,"Por favor, insira seu e-mail e mensagem para que possamos entrar em contato com você. Obrigado!"
Please enter the password,Por favor digite a senha
Please enter the password for: <b>{0}</b>,Digite a senha de: <b>{0}</b>
Please enter valid mobile nos,Insira números de celular válidos
Please enter your new password.,"Por favor, digite sua nova senha."
Please enter your old password.,"Por favor, digite sua senha antiga."
Please find attached {0}: {1},Segue anexo {0}: {1}
Please login to post a comment.,Faça login para postar um comentário.
Please make sure the Reference Communication Docs are not circularly linked.,Certifique-se de que os documentos de comunicação de referência não estejam vinculados circularmente.
Please refresh to get the latest document.,Atualize para obter o documento mais recente.
Please remove the printer mapping in Printer Settings and try again.,Remova o mapeamento da impressora em Configurações da impressora e tente novamente.
Please save before attaching.,Salve antes de anexar.
Please save the Newsletter before sending,Por favor salve a Newsletter antes de enviar
Please save the document before assignment,Por favor salve o documento antes da atribuição
Please save the document before removing assignment,Salve o documento antes de remover a atribuição
Please save the report first,Salve o relatório primeiro
Please save to edit the template.,Salve para editar o modelo.
Please select DocType first,Selecione DocType primeiro
Please select Entity Type first,Selecione primeiro o tipo de entidade
Please select Minimum Password Score,Selecione a pontuação mínima da senha
Please select X and Y fields,Selecione os campos X e Y
Please select a country code for field {1}.,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Please select a file first.,Selecione um arquivo primeiro.
Please select a file or url,Selecione um arquivo ou URL
Please select a valid csv file with data,Selecione um arquivo csv válido com dados
Please select a valid date filter,Selecione um filtro de data válido
Please select applicable Doctypes,Selecione os tipos de documentos aplicáveis
Please select atleast 1 column from {0} to sort/group,Selecione pelo menos 1 coluna de {0} para classificar/agrupar
Please select prefix first,Selecione o prefixo primeiro
Please select the Document Type.,Selecione o tipo de documento.
Please select the LDAP Directory being used,Selecione o diretório LDAP que está sendo usado
Please set Dropbox access keys in site config or doctype,Defina as chaves de acesso do Dropbox na configuração do site ou no tipo de documento
Please set Email Address,"Por favor, defina o endereço de e-mail"
Please set a printer mapping for this print format in the Printer Settings,Defina um mapeamento de impressora para este formato de impressão nas Configurações da impressora
Please set filters value in Report Filter table.,Defina o valor dos filtros na tabela Filtro de Relatório.
Please set the document name,"Por favor, defina o nome do documento"
Please set the following documents in this Dashboard as standard first.,Defina primeiro os seguintes documentos neste Painel como padrão.
Please set the series to be used.,"Por favor, defina a série a ser usada."
"Please setup SMS before setting it as an authentication method, via SMS Settings","Configure o SMS antes de defini-lo como método de autenticação, através de Configurações de SMS"
Please setup a message first,Configure uma mensagem primeiro
Please setup default outgoing Email Account from Settings > Email Account,Configure a conta de e-mail de saída padrão em Configurações > Conta de e-mail
Please setup default outgoing Email Account from Tools > Email Account,Configure a conta de e-mail de saída padrão em Ferramentas > Conta de e-mail
Please specify a valid parent DocType for {0},Especifique um DocType pai válido para {0}
Please specify at least 10 minutes due to the trigger cadence of the scheduler,Especifique pelo menos 10 minutos devido à cadência de acionamento do agendador
Please specify the minutes offset,Especifique o deslocamento de minutos
Please specify which date field must be checked,Especifique qual campo de data deve ser verificado
Please specify which datetime field must be checked,Especifique qual campo de data e hora deve ser verificado
Please specify which value field must be checked,Especifique qual campo de valor deve ser verificado
Please try again,"Por favor, tente novamente"
Please update {} before continuing.,Atualize {} antes de continuar.
Please use a valid LDAP search filter,Use um filtro de pesquisa LDAP válido
Please verify your Email Address,Verifique seu endereço de e-mail
Please visit https://frappecloud.com/docs/sites/migrate-an-existing-site#encryption-key for more information.,Visite https://frappecloud.com/docs/sites/migrate-an-existent-site#encryption-key para obter mais informações.
Polling,Votação
Popover Element,Elemento Popover
Popover or Modal Description,Popover ou descrição modal
Port,Porta
Portal Menu,Menu do Portal
Portal Menu Item,Item de menu do portal
Portal Settings,Configurações do portal
Position,Posição
Post,Publicar
"Post it here, our mentors will help you out.","Poste aqui, nossos mentores irão ajudá-lo."
Postal,Postal
Posting Timestamp,Carimbo de data e hora de postagem
Posts by {0},Postagens de {0}
Posts filed under {0},Postagens arquivadas em {0}
Precision,Precisão
Precision should be between 1 and 6,A precisão deve estar entre 1 e 6
Predictable substitutions like '@' instead of 'a' don't help very much.,Substituições previsíveis como '@' em vez de 'a' não ajudam muito.
Prefer not to say,Prefiro não dizer
Preferred Billing Address,Endereço de cobrança preferencial
Preferred Shipping Address,Endereço de envio preferencial
Prefix,Prefixo
Prepared Report,Relatório Preparado
Prepared Report Analytics,Análise de relatório preparado
Prepared Report User,Usuário de relatório preparado
Prepared report render failed,Falha na renderização do relatório preparado
Preparing Report,Preparando Relatório
Prepend the template to the email message,Anexe o modelo à mensagem de e-mail
Press Alt Key to trigger additional shortcuts in Menu and Sidebar,Pressione a tecla Alt para acionar atalhos adicionais no menu e na barra lateral
Press Enter to save,Pressione Enter para salvar
Preview HTML,Visualizar HTML
Preview Image,Visualizar imagem
Preview Message,Visualizar mensagem
Preview Mode,Modo de visualização
Preview of generated names,Visualização dos nomes gerados
Preview on {0},Visualização em {0}
Preview type,Tipo de visualização
Preview:,Visualização:
Previous,Anterior
Previous Hash,Hash anterior
Previous Submission,Envio Anterior
Primary,Primário
Primary Color,Cor Primária
Primary Email,E-mail principal
Primary Mobile,Celular principal
Primary Phone,Telefone principal
Primary key of doctype {0} can not be changed as there are existing values.,A chave primária do tipo de documento {0} não pode ser alterada porque existem valores existentes.
Print Documents,Imprimir documentos
Print Format Builder,Construtor de formato de impressão
Print Format Builder Beta,Construtor de formato de impressão beta
Print Format Error,Erro de formato de impressão
Print Format Field Template,Modelo de campo de formato de impressão
Print Format Help,Ajuda sobre formato de impressão
Print Format Type,Tipo de formato de impressão
Print Format {0} is disabled,Formato de impressão {0} está desativado
Print Hide,Imprimir ocultar
Print Hide If No Value,Imprimir ocultar se não houver valor
Print Sent to the printer!,Imprimir Enviado para a impressora!
Print Server,Servidor de impressão
Print Style,Estilo de impressão
Print Style Name,Nome do estilo de impressão
Print Style Preview,Visualização do estilo de impressão
Print Width,Largura de impressão
"Print Width of the field, if the field is a column in a table","Imprimir a largura do campo, se o campo for uma coluna de uma tabela"
Print document,Imprimir documento
Print with letterhead,Imprimir com papel timbrado
Printer,Impressora
Printer Mapping,Mapeamento de impressora
Printer Name,Nome da impressora
Printer Settings,Configurações da impressora
Printer mapping not set.,Mapeamento da impressora não definido.
Printing,Impressão
Printing failed,Falha na impressão
Private,Privado
Private Files (MB),Arquivos privados (MB)
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Adicione <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> para enviar a referência do documento
Proceed,Prosseguir
Proceed Anyway,Prossiga de qualquer maneira
Processing,Processamento
Processing...,Processamento...
Prof,Prof.
Property Depends On,A propriedade depende de
Property Setter,Configurador de propriedades
Property Setter overrides a standard DocType or Field property,O Property Setter substitui uma propriedade DocType ou Field padrão
Property Type,Tipo de propriedade
Protect Attached Files,Proteger arquivos anexados
Protected File,Arquivo protegido
"Provide a list of allowed file extensions for file uploads. Each line should contain one allowed file type. If unset, all file extensions are allowed. Example: <br>CSV<br>JPG<br>PNG","Forneça uma lista de extensões de arquivo permitidas para uploads de arquivos. Cada linha deve conter um tipo de arquivo permitido. Se não for definido, todas as extensões de arquivo serão permitidas. Exemplo: <br>CSV<br>JPG<br>PNG"
Provider Name,Nome do provedor
Public,Público
Public Files (MB),Arquivos Públicos (MB)
Publish,Publicar
Publish as a web page,Publicar como uma página da web
Published On,Publicado em
Published on,Publicado em
Publishing Dates,Datas de publicação
Pull Emails,Extrair e-mails
Pull from Google Calendar,Extrair do Google Agenda
Pull from Google Contacts,Extrair dos Contatos do Google
Pulled from Google Calendar,Retirado do Google Agenda
Pulled from Google Contacts,Retirado dos Contatos do Google
Pulling emails...,Extraindo e-mails...
Push Notification Settings,Configurações de notificação push
Push to Google Calendar,Envie para o Google Agenda
Push to Google Contacts,Enviar para os Contatos do Google
Put on Hold,Colocar em espera
Python,Pitão
QR Code,Código QR
QR Code for Login Verification,Código QR para verificação de login
QZ Tray Connection Active!,Conexão da bandeja QZ ativa!
QZ Tray Failed: ,Falha na bandeja QZ:
Quarter Day,Trimestre de Dia
Query,Consulta
Query / Script,Consulta/Script
Query Parameters,Parâmetros de consulta
Query Report,Relatório de consulta
Query analysis complete. Check suggested indexes.,Análise da consulta concluída. Verifique os índices sugeridos.
Query must be of SELECT or read-only WITH type.,A consulta deve ser do tipo SELECT ou somente leitura COM.
Queue,Fila
Queue Overloaded,Fila sobrecarregada
Queue Status,Status da fila
Queue Type(s),Tipo(s) de fila
Queue in Background (BETA),Fila em segundo plano (BETA)
Queue should be one of {0},A fila deve ser uma de {0}
Queue(s),Filas
Queued At,Na fila em
Queued By,Na fila por
Queued for Submission. You can track the progress over {0}.,Na fila para envio. Você pode acompanhar o progresso em {0}.
Queued for backup. It may take a few minutes to an hour.,Na fila para backup. Pode levar alguns minutos a uma hora.
Queued for backup. You will receive an email with the download link,Na fila para backup. Você receberá um e-mail com o link para download
Queued {0} emails,{0} e-mails em fila
Queues,Caudas
Queuing emails...,Enfileirando e-mails...
Queuing {0} for Submission,Enfileirando {0} para envio
Quick Help for Setting Permissions,Ajuda rápida para definir permissões
Quick List Filter,Filtro de lista rápida
Quick Lists,Listas rápidas
Quoting must be between 0 and 3,A cotação deve estar entre 0 e 3
RAW Information Log,Registro de informações RAW
RQ Job,Trabalho RQ
RQ Worker,Trabalhador RQ
Rate Limiting,Limitação de taxa
Rate Limits,Limites de taxa
Rate limit for email link login,Limite de taxa para login com link de e-mail
Raw Commands,Comandos brutos
Raw Email,E-mail bruto
Raw Printing,Impressão bruta
Raw Printing Setting,Configuração de impressão bruta
Raw Printing Settings,Configurações de impressão bruta
Re-Run in Console,Execute novamente no console
Re:,Ré:
Re: {0},Re: {0}
Read Only Depends On,Somente leitura depende de
Read Only Depends On (JS),Somente leitura depende de (JS)
Read Only Mode,Modo somente leitura
Read Time,Tempo de leitura
Read by Recipient,Lido pelo destinatário
Read by Recipient On,Ler pelo destinatário ativado
Read mode,Modo de leitura
Read the documentation to know more,Leia a documentação para saber mais
Readme,Leia-me
Realtime (SocketIO),Tempo real (SocketIO)
Rebuild,Reconstruir
Rebuilding of tree is not supported for {},A reconstrução da árvore não é compatível com {}
Received an invalid token type.,Recebeu um tipo de token inválido.
Receiver By Document Field,Campo Receptor por Documento
Receiver By Role,Receptor por função
Receiver Parameter,Parâmetro do receptor
Recent years are easy to guess.,Os últimos anos são fáceis de adivinhar.
Recents,Recente
Recipient Unsubscribed,Destinatário com assinatura cancelada
Recorder,Gravador
Recorder Query,Consulta do gravador
Recorder Suggested Index,Índice sugerido do gravador
Records for following doctypes will be filtered,Os registros dos seguintes doctypes serão filtrados
Recursive Fetch From,Busca recursiva de
Redirect HTTP Status,Redirecionar status HTTP
Redirect URI,Redirecionar URI
Redirect URI Bound To Auth Code,Redirecionar URI vinculado ao código de autenticação
Redirect URIs,Redirecionar URIs
Redirect URL,URL de redirecionamento
Redirect to the selected app after login,Redirecionar para o aplicativo selecionado após o login
Redirect to this URL after successful confirmation.,Redirecione para este URL após confirmação bem-sucedida.
Redirects,Redirecionamentos
Redis cache server not running. Please contact Administrator / Tech support,O servidor de cache Redis não está em execução. Entre em contato com o administrador/suporte técnico
Redo,Refazer
Redo last action,Refazer a última ação
Ref DocType,Tipo de documento de referência
Referance Doctype and Dashboard Name both can't be used at the same time.,Tipo de documento de referência e nome do painel não podem ser usados ​​ao mesmo tempo.
Reference Datetime,Data e hora de referência
Reference DocName,Referência DocName
Reference DocType and Reference Name are required,Referência DocType e Reference Name são obrigatórios
Reference Docname,Nome do documento de referência
Reference Owner,Proprietário de referência
Reference Report,Relatório de referência
Reference name,Nome de referência
Reference: {0} {1},Referência: {0} {1}
Refresh All,Atualizar tudo
Refresh List,Atualizar lista
Refresh Token,Atualizar token
Refreshing,Refrescante
Refreshing...,Refrescante...
Registered but disabled,"Registrado, mas desativado"
Relay Server URL missing,URL do servidor de retransmissão ausente
Relay Settings,Configurações de relé
Release Notes,Notas de versão
Relink,Vincular novamente
Relink Communication,Revincular a comunicação
Relinked,Vinculado novamente
Reload File,Recarregar arquivo
Reload List,Lista de recarga
Reload Report,Recarregar relatório
Remember Last Selected Value,Lembre-se do último valor selecionado
Remind At,Lembrar em
Remind Me,Lembre-me
Remind Me In,Lembre-me
Reminder cannot be created in past.,O lembrete não pode ser criado no passado.
Reminder set at {0},Lembrete definido em {0}
Remove,Remover
Remove Failed Jobs,Remover trabalhos com falha
Remove Field,Remover campo
Remove Filter,Remover filtro
Remove Section,Remover seção
Remove all customizations?,Remover todas as personalizações?
Remove all fields in the column,Remova todos os campos da coluna
Remove column,Remover coluna
Remove field,Remover campo
Remove last column,Remover última coluna
Remove page break,Remover quebra de página
Remove section,Remover seção
Remove tab,Remover guia
Removed,Removido
Rename Fieldname,Renomear nome do campo
Rename {0},Renomear {0}
"Renamed files and replaced code in controllers, please check!","Arquivos renomeados e código substituído nos controladores, verifique!"
Render labels to the left and values to the right in this section,Renderize rótulos à esquerda e valores à direita nesta seção
Repeat,Repita
Repeat Header and Footer,Repetir cabeçalho e rodapé
Repeat On,Repetir ativado
Repeat Till,Repita até
Repeat on Day,Repita no dia
Repeat on Days,Repita nos dias
Repeat on Last Day of the Month,Repita no último dia do mês
Repeat this Event,Repita este evento
"Repeats like ""aaa"" are easy to guess","Repetições como ""aaa"" são fáceis de adivinhar"
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""","Repetições como ""abcabcabc"" são apenas um pouco mais difíceis de adivinhar do que ""abc"""
Repeats {0},Repete {0}
Replicate,Replicar
Replicating...,Replicando...
Replication completed.,Replicação concluída.
Reply,Responder
Reply All,Responder a todos
Report Builder,Construtor de relatórios
Report Column,Coluna do relatório
Report Description,Descrição do relatório
Report Document Error,Reportar erro no documento
Report Filter,Filtro de relatório
Report Hide,Relatório ocultar
Report Information,Informações do relatório
Report Manager,Gerenciador de relatórios
Report Name,Nome do relatório
"Report Name, Report Field and Fucntion are required to create a number card","Nome do relatório, campo do relatório e função são necessários para criar um cartão numérico"
Report Ref DocType,Tipo de documento de referência do relatório
Report Reference Doctype,Tipo de documento de referência do relatório
Report bug,Reportar bug
Report cannot be set for Single types,O relatório não pode ser definido para tipos únicos
"Report has no data, please modify the filters or change the Report Name",O relatório não contém dados. Modifique os filtros ou altere o nome do relatório
"Report has no numeric fields, please change the Report Name",O relatório não possui campos numéricos. Altere o nome do relatório
"Report initiated, click to view status","Relatório iniciado, clique para visualizar o status"
Report limit reached,Limite de relatórios atingido
Report timed out.,O relatório expirou.
Report updated successfully,Relatório atualizado com sucesso
Report was not saved (there were errors),O relatório não foi salvo (houve erros)
Report with more than 10 columns looks better in Landscape mode.,Relatório com mais de 10 colunas fica melhor no modo Paisagem.
Report {0},Relatório {0}
Report {0} deleted,Relatório {0} excluído
Report {0} is disabled,O relatório {0} está desativado
Report {0} saved,Relatório {0} salvo
Report:,Relatório:
Reports & Masters,Relatórios e Mestres
Reports already in Queue,Relatórios já na fila
Represents a User in the system.,Representa um usuário no sistema.
Represents the states allowed in one document and role assigned to change the state.,Representa os estados permitidos em um documento e a função atribuída para alterar o estado.
Request Body,Corpo da Solicitação
Request Data,Solicitar dados
Request Description,Descrição da solicitação
Request Headers,Solicitar cabeçalhos
Request ID,ID da solicitação
Request Limit,Limite de solicitação
Request Method,Método de solicitação
Request Structure,Estrutura de solicitação
Request Timed Out,Solicitação expirou
Request URL,Solicitar URL
Requested Numbers,Números solicitados
Require Trusted Certificate,Exigir certificado confiável
"Requires any valid fdn path. i.e. ou=groups,dc=example,dc=com","Requer qualquer caminho fdn válido. ou seja, ou=grupos,dc=exemplo,dc=com"
"Requires any valid fdn path. i.e. ou=users,dc=example,dc=com","Requer qualquer caminho fdn válido. ou seja, ou=usuários,dc=exemplo,dc=com"
Res: {0},Res: {0}
Reset All Customizations,Redefinir todas as personalizações
Reset Changes,Redefinir alterações
Reset Chart,Redefinir gráfico
Reset Dashboard Customizations,Redefinir personalizações do painel
Reset Fields,Redefinir campos
Reset LDAP Password,Redefinir senha LDAP
Reset Layout,Redefinir layout
Reset OTP Secret,Redefinir segredo OTP
Reset Password,Redefinir senha
Reset Password Key,Chave de redefinição de senha
Reset Password Link Expiry Duration,Duração de expiração do link de redefinição de senha
Reset Password Template,Modelo de redefinição de senha
Reset Permissions for {0}?,Redefinir permissões para {0}?
Reset To Default,Redefinir para o padrão
Reset sorting,Redefinir classificação
Reset to default,Redefinir para o padrão
Reset to defaults,Redefinir para os padrões
Reset your password,Redefinir sua senha
Response,Resposta
Response ,Resposta
Response Type,Tipo de resposta
Rest of the day,Resto do dia
Restore,Restaurar
Restore Original Permissions,Restaurar permissões originais
Restore to default settings?,Restaurar as configurações padrão?
Restored,Restaurado
Restoring Deleted Document,Restaurando Documento Excluído
Restrict IP,Restringir IP
Restrict To Domain,Restringir ao domínio
Restrict to Domain,Restringir ao domínio
